Processed_Text,Emotion
feel humiliated,sadness
go feeling hopeless damned hopeful around someone care awake,sadness
grabbing minute post feel greedy wrong,anger
ever feeling nostalgic fireplace know still property,love
feeling grouchy,anger
feeling little burdened lately sure,sadness
taking milligram time recommended amount fallen asleep lot faster also feel like funny,surprise
feel confused life teenager jaded year old man,fear
petronas year feel petronas performed well made huge profit,happy
feel romantic,love
feel like make suffering seeing mean something,sadness
feel running divine experience expect type spiritual encounter,happy
think easiest time year feel dissatisfied,anger
feel low energy thirsty,sadness
immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,happy
feel reassured anxiety side,happy
really feel embarrassed,sadness
feel pretty pathetic time,sadness
started feeling sentimental doll child began collection vintage barbie doll sixty,sadness
feel compromised skeptical value every unit work put,fear
feel irritated rejected without anyone anything saying anything,anger
feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,fear
feeling amused delighted,happy
able help chai lifeline support encouragement great feeling glad able help,happy
already feel like fucked though usually eat morning,anger
still love wish best longer tolerate effect bm life fact turned bitter angry person always particularly kind people around feeling stressed,sadness
become overwhelmed feel defeated,sadness
feel kind appalled feel like need explain wide lenghth body measure etc pp,anger
feel superior dead chicken grieving child,happy
get giddy feeling elegant perfectly fitted pencil skirt,happy
remember feeling acutely distressed day,fear
seen heard read past couple day left feeling impressed company,surprise
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,anger
imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,happy
however want know something someone causing feel le splendid self step away,happy
feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,anger
need need someone need protected feel safe small find season word,happy
plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,happy
feeling discouraged already robbing peter pay paul get cow year can not afford get cow way,sadness
feeling listless need new thing something different,sadness
lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,happy
let go sad feeling want accepted first home mine,love
boat trip denmark,happy
stopped feeling cold began feeling hot,anger
need feel dough make sure perfect,happy
found feeling little discouraged morning,sadness
feel selfish spoiled,anger
stymied little bit wrote feeling unsure might go somewhere story unintended,fear
bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind,happy
hate living dad roof give excuse asshole he providing live think feel need make feel unwelcome possible ill leave,sadness
keep feeling pleasantly surprised supportiveness also ease new situation,surprise
feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall,happy
feel mom graceful warm loving smile rob time nurture heal,happy
feel talk brother law extremely popular one think stiff,happy
ate could feel gentle tingle throughout almost feeling healing taking place cellular level,love
feel like pressured young beautiful thin depending trend girl rejuvenated butt implant,fear
began several time week feeling tortured hallucination moving people figure sound vibration,fear
nearly finished week detox feel amazing,surprise
feel selfish read back former post never asked prayer others never considered may others deserve prayer answered,anger
know pain parent feel enraged child becomes violent,anger
roller coaster emotion supposed feeling something unpleasant coming,sadness
suppose truth need shared feeling faithful lately dwelled doubt uncertainty faith,love
feeling brave bought clearly makeup,happy
feeling miserable c also proudest mum earth,sadness
necessarily think f bomb sex necessary story feel reassured see print journal,happy
feel ovary aching talking like put,sadness
feel like much chris mostly took many picture unimportant stuff,sadness
tired book ready finding given unsuitable image feeling blamed result sit well,sadness
successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,happy
think feeling one nay important thing,happy
feel completely honored influence young talented fully alive beautiful girl woman,happy
feel angered firey,anger
feel like miserable piece garbage,sadness
feel like need make list leanne would appalled thought miss anything,anger
drove dannika school feeling little bit rushed greeted turned corner,anger
remember feeling hellip furious shooter,anger
feel show around show horse people trusting relaxed show horse safe quiet handled frequently,happy
couple thing left make start december done feeling smug,happy
feel worthless time struggling finding work,sadness
able lay bed dark feel terrified least,fear
ready meet mom airport feel ever supportive arm around,love
feeling bitter today mood strange entire day guess,anger
letting go animosity towards anyone feel wronged,anger
talk dog feel can not understand word read emotion know supportive decided go home,love
feel like throwing away shitty piece shit paper,sadness
starting feel wryly amused banal comedy error life turning,happy
find every body beautiful want people feel vital body,happy
hear owner feel victimized association association attorney property manager,sadness
say goodbye fam sad cry feel like heartless bitch hey pretty excited flying first time know also spend year another country,anger
let child cry feel loving lily little going opportunity lasted short month,love
alba feel good fitting,happy
feel excited feel like ton catching,happy
mean really really hard work obtain high technical skill wushu feel kind ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,sadness
feel like thing getting little overwhelming spritz toner really help calm soothe,happy
hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,happy
finding ill seriously,happy
feel rarely advance worthwhile always stick rule posting anything online would prepared say somebody face,happy
feeling useful,happy
feel like pain can not imagine becoming passionate group idea causing pain,love
feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,sadness
dance feel pretty,happy
workout every morning feel fabulous,happy
feel eye touch word eye know assuredly return love know shall vain,sadness
feeling fabulous friday morning started get awful cramp work,happy
feel honoured able call friend share brotherhood,happy
begun feel apprehensive thick black rain cloud stormed sky town,fear
stated reason feel fearful feel unsafe,fear
feel like getting shaken tsa quite yet pulled side creative croissant lunch,fear
excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved,love
feel pretty safe blog img src http,happy
feel pretty eager get done fun plan quilting,happy
feeling horny ask let u go home,love
think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,fear
feel stranger strange land raising son place father ancestral home,surprise
left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,happy
feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day,happy
still feeling strong,happy
burst tear devastating release feeling thought seemed know rich also go space without dumping,happy
wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,anger
suppose feel badly bit skeptical pain last month hyperchondria exaggeration habit past though never openly questioned,fear
clench corner bed feel assured,happy
also feel like selfish grateful life amazing thing,anger
called god seen god book figured god right name feeling utterly affirmed accepted without question,love
know perhaps girl office nice short hair perhaps feeling rebellious,anger
feel miserable family type celebrates eid,sadness
still feel sleep deprived almost sleeping night giving u,sadness
feel really violent right,anger
bloging sitting feeling content dog amp cat etc know lucky truth,happy
started feeling funny friday woke sick dog,surprise
feel disgusted even associated woman race nationality,anger
laughed bitterly feeling bitter,anger
feeling quite mellow wanted soft easy look wear beginning cold,happy
told maybe need time think feeling indecisive thing lately,fear
still feel genre disservice story resolved artifically,happy
always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish pissed,happy
remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall,fear
could feel whimper thought unloved uncared,sadness
certainly going sit tell going personal life feel ever curious going life would watch show,surprise
sorry humor post feeling funny,surprise
say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,anger
feel strange coming back work one day holiday,fear
clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,anger
fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl,sadness
could claim redeem genre leave feeling entirely frustrated point beating head wall either,anger
getting feeling class little intimidated concept lit,fear
still feel groggy get routine son,sadness
feeling view going popular fine,happy
want hold feeling shocked awe wonder forever,surprise
heard rumour st year exam result fear might one failure,fear
want feel valued appreciated know people love going anywhere even nature relationship change,happy
know day feel distracted,anger
use regularly relaxing music always feel invigorated afterward,happy
feeling distracted tend practice eye shut much possible,anger
feel like perfect w see youtube influence even know trend,happy
specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol,fear
also feel weird sleeping bed two slept,fear
wish okay thinking earlier today thing cooped amp restless made feel needy,sadness
lost weight could fit tiny skirt unable wear feel confident,happy
fan current president conservative made feel unwelcome,sadness
enclose verse could weigh much thinking feeling curious hear odd couple,surprise
feel vulnerable alone,fear
feel like always one getting punished stupid thing feel like chastised behaving,sadness
simply feel contented,happy
saying cut everyone life feel important find comfort solitude meditation working project alone,happy
think stupid feeling nervous,fear
feeling act god work life amazing feeling,surprise
feel like bird flying air carefree manner,happy
revise reply mind make sure reply sound appropriate enough person receive reply feel offended,anger
felt sad friend mine died felt something irrevocably gone away,sadness
died would alex matt feel regretful coming visit,sadness
feel educating family supporting educationg mama papa key,happy
sure lost feel like everyone hostile toward hate feeling,anger
feel like boring sewing make since easy nothing else say fabric usage,sadness
always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,happy
feel curious thing around,surprise
feel reason apart others life help become something push succeed successful happy,happy
feel uncomfortable guess,fear
feel pretty mellow far whatever healing wounding process may getting underway,happy
wonder sometimes whether added antagonism misunderstanding many people towards u feel reluctant wholeheartedly support traditional armistice day remembrance,fear
know unfair reaction run way explain feel shaken best come right,fear
seriously feel blessed support home amazing,love
feel abused maligned mostly tired nervous feeling anticipating danger,sadness
feeling pretty restless right typing,fear
know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lapping water wood piling relaxing breeze coming water,love
admit hilarious e card seriously exactly feel stressed feel moment could start hy,sadness
wrote last year feeling dull inarticulate normal,sadness
id kick gear feel irritable motivation ever,anger
feel child innocent feeling illustrating,happy
satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,love
start feel resentful,anger
feel herpes coming would surprised point make checkup clinic wednesday,surprise
feel fucked like everyday life,anger
worked really hard year try make child class feel like valued,happy
feel like bitchy time upon retrospect think trying shake,anger
still second guess still terrible time making definitive decision certain truth know feel assured truth,happy
feel like egg benedict something equally delicious,happy
feel smiled love even gorgeous,happy
continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,sadness
say feel sympathetic,love
go online see friend talking another one talking feel ignored feel unloved,sadness
monitoring say anything ever come across blog feel offended please stop,anger
feel like weird cancer one time,surprise
want feel safe well maybe maybe small chance feel joy dream come true,happy
feeling cranky,anger
tried fill befriending people knew using care needed feel accepted even complete loser,love
feel stressed always,sadness
remember feeling another cramp also ignored,sadness
hope feel mellow well fed well slept peace within external world,happy
also learned take lot effort positive thinking break tear feeling exhausted guilty better mom,sadness
feeling awful hung friend new baby day,sadness
feel relaxed fine,happy
feel suffering really feel pain,sadness
go sleep feel giving precious time something else life,happy
shalt say co din feel thing wrote hw keen xxx,happy
feel terrified like edge precipice staring ahead,fear
feel furious right life advocate tell live die lobbying supporting politician sympathic view,anger
feel abused way,sadness
still paying attention feel distracted,anger
started third block feeling hot cold tingly time knowing still five hour examination ahead idea would good,love
hesitant make suggestion feel outcome would sincere,happy
feel terribly fond majority precise time,love
feel gaining control damaged good aspect personal security,sadness
think kind taken u long build good inventory sauce oil spice non perishable feel like chance making something delicious without specifically go buy every single item recipe,happy
feel advise dad whose child soon become teenager cool pull kid high school pick smelly jalopy plant coming window,happy
feel victimized drag country head sand traditionalist hesitate call conservative fear offending real honest god conservative still think world created year ago stuff like skeletal remains kind hoax,sadness
would feel lucky call material kit site mine beautifully curated,happy
mind feel like mind dangerous life,anger
feel like love everyone least compassionate toward others,love
feel punished neglecting,sadness
feel like capture beauty lovely polish,love
feel like lost main root feel le secure emotionally financially socially,sadness
know obnoxiously immature sounding verbal tic voice kind nasal always come across like sharpest tool would especially feeling awkward knowing knowing know,sadness
id terrible nightmare feeling little disturbed,sadness
want walk passed case customer feel disturbed,sadness
feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,fear
feel like almost convinced going pattern,happy
also wear wearing dress make feel slutty feel like antique underwear obviously little bit edgy maybe little bit little bit,love
feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic day,anger
positively giddy kid left morning last official class year feeling little sad,sadness
feel supportive also can not help feel jealous,love
mainly like text feel like much clever written word rather spoken,happy
personality feel pain suffering,sadness
guess would feel like joseph walt trusting care mother finance six month died time want defend self god make quiet,happy
wonder master feeling r wanting eager please master could much enjoy attention wrong desire return affection,happy
feeling little bit positive thing quite hard first saving eaten quickly cost want become burden boyfriend come end feeling brighter inspired thing come,happy
feeling rather sentimental right say feel lucky max mom,sadness
make show feel isolated crowd ill know wrong anti social feeling,sadness
learned turn emotion often find feeling completely blank mother cry continuously suicidalness,sadness
feel loyal style,love
understand may feel would rather bit vulnerable homeless london precise way,fear
finally stop feeling listless like waste space,sadness
know feeling agitated side effect high dose,fear
feeling brave enough,happy
fear thief,fear
